"","number","name","year","theme","themeGroup","subtheme","category","packagingType","availability","ageRange","minifigs","pieces","retailPrice","pp","collections.ownedBy","collections.wantedBy"
"1","10232","Palace Cinema",2013,"Creator Expert","Model making","Modular Buildings Collection","Normal","Box","LEGO exclusive",16,6,2196,139.99,0.063747723132969,26611,8656
"2","10233","Horizon Express",2013,"Creator Expert","Model making","Trains","Normal","Box","LEGO exclusive",14,6,1351,99.99,0.0740118430792006,6279,4427
"3","10234","Sydney Opera House",2013,"Creator Expert","Model making","Landmarks","Normal","Box","LEGO exclusive",16,0,2989,279.99,0.0936734693877551,6270,4962
"4","10235","Winter Village Market",2013,"Creator Expert","Model making","Winter Village Collection","Normal","Box","LEGO exclusive",12,9,1261,89.99,0.0713639968279143,11152,5933
"5","10236","Ewok Village",2013,"Star Wars","Licensed","Ultimate Collector Series","Normal","Box","LEGO exclusive",12,17,1990,249.99,0.125623115577889,13382,10586
"6","10237","Tower of Orthanc",2013,"The Lord of the Rings","Licensed","The Two Towers","Normal","Box","LEGO exclusive",NA,5,2359,199.99,0.0847774480712166,7960,6036
"7","10240","Red Five X-wing Starfighter",2013,"Star Wars","Licensed","Ultimate Collector Series","Normal","Box","LEGO exclusive",16,1,1559,199.99,0.128280949326491,10906,8151
"8","10250","Year of the Snake",2013,"Seasonal","Miscellaneous","Chinese Traditional Festivals","Normal","{Not specified}","{Not specified}",7,0,243,43.99,0.181028806584362,377,1045
"9","10500","Horse Stable",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,44,29.99,0.681590909090909,174,90
"10","10501","Zoo Friends",2013,"Duplo","Pre-school","Zoo","Normal","Box","Retail",1,0,5,4.99,0.998,788,128
"11","10502","Zoo Bus",2013,"Duplo","Pre-school","Zoo","Normal","Box","Retail",2,2,19,29.99,1.57842105263158,344,154
"12","10503","Circus Show",2013,"Duplo","Pre-school","Circus","Normal","Box","Retail",2,1,25,9.99,0.3996,367,95
"13","10504","My First Circus",2013,"Duplo","Pre-school","Circus","Normal","Box","Retail",2,3,62,39.99,0.645,494,114
"14","10505","Play House",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,3,83,59.99,0.722771084337349,577,135
"15","10506","Train Accessory Set",2013,"Duplo","Pre-school","Trains","Normal","Box","Retail",NA,0,24,19.99,0.832916666666667,1733,188
"16","10507","My First Train Set",2013,"Duplo","Pre-school","Trains","Normal","Box","Retail",2,2,52,49.99,0.961346153846154,1842,172
"17","10508","Deluxe Train Set",2013,"Duplo","Pre-school","Trains","Normal","Box","Retail",2,3,134,119.99,0.89544776119403,1483,219
"18","10509","Dusty and Chug",2013,"Duplo","Pre-school","Planes","Normal","Box","Retail",2,2,16,17.99,1.124375,601,108
"19","10510","Ripslinger's Air Race",2013,"Duplo","Pre-school","Planes","Normal","Box","Retail",2,2,40,29.99,0.74975,471,107
"20","10511","Skipper's Flight School",2013,"Duplo","Pre-school","Planes","Normal","Box","Retail",2,3,53,39.99,0.754528301886793,483,124
"21","10512","Jake's Treasure Hunt",2013,"Duplo","Pre-school","Jake and the Never Land Pirates","Normal","Box","Retail",2,1,22,12.99,0.590454545454545,534,89
"22","10513","Never Land Hideout",2013,"Duplo","Pre-school","Jake and the Never Land Pirates","Normal","Box","Retail",2,2,37,24.99,0.675405405405405,588,105
"23","10514","Jake's Pirate Ship Bucky",2013,"Duplo","Pre-school","Jake and the Never Land Pirates","Normal","Box","Retail",2,2,56,49.99,0.892678571428571,849,151
"24","10515","Ariel's Undersea Castle",2013,"Duplo","Pre-school","Disney Princess","Normal","Box","Retail",2,1,39,29.99,0.768974358974359,672,155
"25","10516","Ariel's Magical Boat Ride",2013,"Duplo","Pre-school","Disney Princess","Normal","Box","Retail",2,2,30,19.99,0.666333333333333,420,121
"26","10517","My First Garden",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,1,38,11.99,0.315526315789474,635,73
"27","10518","My First Construction Site",2013,"Duplo","Pre-school","Construction","Normal","Box","Retail",2,2,43,19.99,0.464883720930233,689,83
"28","10519","Garbage Truck",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail - limited",2,1,16,19.99,1.249375,451,97
"29","10520","Big Front Loader",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,12,19.99,1.66583333333333,379,89
"30","10550","Circus Transport",2013,"Duplo","Pre-school","Circus","Normal","Box","Retail",2,1,9,19.99,2.22111111111111,272,75
"31","10552","Creative Cars",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,40,14.99,0.37475,1120,72
"32","10553","Toddler Build and Play Cubes",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,17,14.99,0.881764705882353,425,56
"33","10554","Toddler Build and Pull Along",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,15,19.99,1.33266666666667,531,50
"34","10555","Creative Bucket",2013,"Duplo","Pre-school",NA,"Normal","Bucket","Retail",1,0,65,24.99,0.384461538461538,159,50
"35","10556","Creative Chest",2013,"Duplo","Pre-school",NA,"Normal","Tub","Retail",NA,2,106,39.99,0.377264150943396,94,48
"36","10557","Giant Tower",2013,"Duplo","Pre-school",NA,"Normal","Canister","Retail",NA,0,200,59.99,0.29995,251,54
"37","10558","Number Train",2013,"Duplo","Pre-school","Trains","Normal","Box","Retail",1,1,31,19.99,0.644838709677419,2431,96
"38","10559","A Fairy Tale",2013,"Duplo","Pre-school",NA,"Normal","Blister pack","Retail",NA,0,15,14.99,0.999333333333333,221,45
"39","10560","Peekaboo Jungle",2013,"Duplo","Pre-school",NA,"Normal","Blister pack","Retail",1,0,13,14.99,1.15307692307692,160,44
"40","10561","Toddler Starter Building Set",2013,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,37,19.99,0.54027027027027,314,38
"41","10655","LEGO Monster Trucks",2013,"Bricks and More","Basic",NA,"Normal","Box","Retail",4,3,197,19.99,0.101472081218274,811,271
"42","10656","My First LEGO Princess",2013,"Bricks and More","Basic",NA,"Normal","Box","Retail",4,1,88,7.99,0.0907954545454546,1580,212
"43","10657","My First LEGO Set",2013,"Bricks and More","Basic",NA,"Normal","Box","Retail",4,1,148,12.99,0.0877702702702703,605,220
"44","10659","LEGO® Blue Suitcase",2013,"Bricks and More","Basic",NA,"Normal","Other","Retail",4,2,146,24.99,0.171164383561644,1480,263
"45","10660","LEGO® Pink Suitcase",2013,"Bricks and More","Basic",NA,"Normal","Other","Retail",4,2,151,24.99,0.165496688741722,992,232
"46","10661","My First LEGO Fire Station",2013,"Bricks and More","Basic",NA,"Normal","Box","Retail",4,1,90,7.99,0.0887777777777778,1175,201
"47","10662","LEGO Creative Bucket",2013,"Bricks and More","Basic",NA,"Normal","Bucket","Retail",4,0,607,24.99,0.041169686985173,1199,277
"48","10663","Creative Chest",2013,"Bricks and More","Basic",NA,"Normal","Tub","Retail",4,3,609,39.99,0.0656650246305419,320,370
"49","10664","Creative Tower",2013,"Bricks and More","Basic",NA,"Normal","Canister","Retail",4,0,1600,59.99,0.03749375,1444,406
"50","10937","Batman: Arkham Asylum Breakout",2013,"DC Comics Super Heroes","Licensed","Batman","Normal","Box","LEGO exclusive",12,8,1619,159.99,0.0988202594193947,6346,5022
"51","11903","Brickmaster Ninjago: Fight the Power of the Snakes parts",2013,"Ninjago","Action/Adventure","Book Parts","Normal","Polybag","Retail",NA,0,156,17.59,0.11275641025641,278,203
"52","11904","Brickmaster Legends of Chima: The Quest for CHI parts",2013,"Legends of Chima","Action/Adventure","Book Parts","Normal","Polybag","Retail",NA,2,187,17.59,0.0940641711229947,327,186
"53","11905","Brickmaster Star Wars: Battle for the Stolen Crystals parts",2013,"Star Wars","Licensed","Book Parts","Normal","Polybag","{Not specified}",7,2,189,17.59,0.0930687830687831,842,958
"54","9664","Nature's Fury Challenge Kit",2013,"Education","Educational","FIRST LEGO League Challenge","Normal","Box","Educational",NA,3,2031,198,0.0974889217134417,48,65
"55","10241","Maersk Line Triple-E",2014,"Creator Expert","Model making","Maersk","Normal","Box","LEGO exclusive",12,0,1518,129.99,0.0856324110671937,3230,4050
"56","10242","MINI Cooper MK VII",2014,"Creator Expert","Model making","Vehicles","Normal","Box","LEGO exclusive",16,0,1077,89.99,0.0835561745589601,17482,4464
"57","10243","Parisian Restaurant",2014,"Creator Expert","Model making","Modular Buildings Collection","Normal","Box","LEGO exclusive",16,5,2469,149.99,0.0607492912110166,29725,8588
"58","10244","Fairground Mixer",2014,"Creator Expert","Model making","Fairground Collection","Normal","Box","LEGO exclusive",16,12,1746,129.99,0.0744501718213059,8991,4213
"59","10245","Santa's Workshop",2014,"Creator Expert","Model making","Winter Village Collection","Normal","Box","LEGO exclusive",12,6,883,69.99,0.0792638731596829,15750,4926
"60","10521","Baby Calf",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,9,6.99,0.776666666666667,462,68
"61","10522","Farm Animals",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,0,12,9.99,0.8325,852,89
"62","10524","Farm Tractor",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,29,19.99,0.689310344827586,704,108
"63","10525","Big Farm",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,121,59.99,0.495785123966942,660,138
"64","10526","Peter Pan's Visit",2014,"Duplo","Pre-school","Jake and the Never Land Pirates","Normal","Box","Retail",2,2,39,29.99,0.768974358974359,392,123
"65","10527","Ambulance",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail - limited",2,1,14,14.99,1.07071428571429,476,91
"66","10528","School Bus",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail - limited",2,3,26,19.99,0.768846153846154,458,88
"67","10529","Truck",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail - limited",2,1,16,14.99,0.936875,383,68
"68","10532","My First Police Set",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,39,24.99,0.640769230769231,440,81
"69","10538","Fire and Rescue Team",2014,"Duplo","Pre-school","Planes","Normal","{Not specified}","{Not specified}",2,3,30,29.99,0.999666666666667,352,99
"70","10539","Beach Racing",2014,"Duplo","Pre-school","Jake and the Never Land Pirates","Normal","Box","Retail",2,1,37,24.99,0.675405405405405,265,91
"71","10542","Sleeping Beauty's Fairy Tale",2014,"Duplo","Pre-school","Disney Princess","Normal","Box","Retail",2,2,55,34.99,0.636181818181818,300,139
"72","10543","Superman Rescue",2014,"Duplo","Pre-school","Superman","Normal","Box","Retail",2,1,19,19.99,1.05210526315789,426,125
"73","10544","The Joker Challenge",2014,"Duplo","Pre-school","Batman","Normal","Box","Retail",2,2,40,29.99,0.74975,576,152
"74","10545","Batcave Adventure",2014,"Duplo","Pre-school","Batman","Normal","Box","Retail",2,2,59,49.99,0.84728813559322,421,176
"75","10546","My First Shop",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,39,24.99,0.640769230769231,294,74
"76","10565","Creative Suitcase",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,0,135,39.99,0.296222222222222,102,43
"77","10566","Creative Picnic",2014,"Duplo","Pre-school",NA,"Normal","Tub","Retail",1,0,52,29.99,0.576730769230769,390,115
"78","10567","Toddler Build and Boat Fun",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,18,19.99,1.11055555555556,601,79
"79","10568","Knight Tournament",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,16,9.99,0.624375,351,101
"80","10569","Treasure Attack",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,3,46,29.99,0.65195652173913,370,111
